GENUS	SPECIES
Elusimicrobium	
Elytrosporangium	brasiliense
Elytrosporangium	brasiliensis
Elytrosporangium	carpinense
Elytrosporangium	spirale
Elytrosporangium	
Embleya	scabrispora
Embleya	
Emcibacter	congregatus
Emcibacter	nanhaiensis
Emcibacter	
Empedobacter	brevis
Empedobacter	falsenii
Empedobacter	stercoris
Empedobacter	
Emticicia	aquatica
Emticicia	aquatilis
Emticicia	fontis
Emticicia	ginsengisoli
Emticicia	oligotrophica
Emticicia	paludis
Emticicia	sediminis
Emticicia	soli
Emticicia	
Endobacter	medicaginis
Endobacter	
Endomicrobium	proavitum
Endomicrobium	
Endothiovibrio	diazotrophicus
Endothiovibrio	
Endozoicomonas	acroporae
Endozoicomonas	arenosclerae
Endozoicomonas	ascidiicola
Endozoicomonas	atrinae
Endozoicomonas	elysicola
Endozoicomonas	euniceicola
Endozoicomonas	gorgoniicola
Endozoicomonas	montiporae
Endozoicomonas	numazuensis
Endozoicomonas	
Enhydrobacter	aerosaccus
Enhydrobacter	
Enhygromyxa	salina
Enhygromyxa	
Enorma	massiliensis
Enorma	timonensis
Enorma	
Ensifer	adhaerens
Ensifer	alkalisoli
Ensifer	americanus
Ensifer	arboris
Ensifer	fredii
Ensifer	garamanticus
Ensifer	glycinis
Ensifer	kostiensis
Ensifer	kummerowiae
Ensifer	medicae
Ensifer	meliloti
Ensifer	mexicanus
Ensifer	morelense
Ensifer	morelensis
Ensifer	numidicus
Ensifer	psoraleae
Ensifer	saheli
Ensifer	sesbaniae
Ensifer	shofinae
Ensifer	sojae
Ensifer	terangae
Ensifer	xinjiangensis
Ensifer	
Enteractinococcus	coprophilus
Enteractinococcus	fodinae
Enteractinococcus	
Enterobacillus	tribolii
Enterobacillus	
Enterobacter	aerogenes
Enterobacter	agglomerans
Enterobacter	amnigenus
Enterobacter	arachidis
Enterobacter	asburiae
Enterobacter	bugandensis
Enterobacter	cancerogenus
Enterobacter	chengduensis
Enterobacter	chuandaensis
Enterobacter	cloacae
Enterobacter	cloacae
Enterobacter	cloacae
Enterobacter	cowanii
Enterobacter	dissolvens
Enterobacter	gergoviae
Enterobacter	helveticus
Enterobacter	hormaechei
Enterobacter	hormaechei
Enterobacter	hormaechei
Enterobacter	hormaechei
Enterobacter	hormaechei
Enterobacter	hormaechei
Enterobacter	huaxiensis
Enterobacter	intermedium
Enterobacter	intermedius
Enterobacter	kobei
Enterobacter	ludwigii
Enterobacter	massiliensis
Enterobacter	mori
Enterobacter	muelleri
Enterobacter	nimipressuralis
Enterobacter	oryzae
Enterobacter	oryzendophyticus
Enterobacter	oryziphilus
Enterobacter	pulveris
Enterobacter	pyrinus
Enterobacter	radicincitans
Enterobacter	roggenkampii
Enterobacter	sacchari
Enterobacter	sakazakii
Enterobacter	siamensis
Enterobacter	sichuanensis
Enterobacter	soli
Enterobacter	tabaci
Enterobacter	taylorae
Enterobacter	turicensis
Enterobacter	xiangfangensis
Enterobacter	
Enterococcus	alcedinis
Enterococcus	aquimarinus
Enterococcus	asini
Enterococcus	avium
Enterococcus	bulliens
Enterococcus	caccae
Enterococcus	camelliae
Enterococcus	canintestini
Enterococcus	canis
Enterococcus	casseliflavus
Enterococcus	cecorum
Enterococcus	columbae
Enterococcus	crotali
Enterococcus	devriesei
Enterococcus	diestrammenae
Enterococcus	dispar
Enterococcus	durans
Enterococcus	eurekensis
Enterococcus	faecalis
Enterococcus	faecium
Enterococcus	flavescens
Enterococcus	gallinarum
Enterococcus	gilvus
Enterococcus	haemoperoxidus
Enterococcus	hermanniensis
Enterococcus	hirae
Enterococcus	italicus
Enterococcus	lactis
Enterococcus	lemanii
Enterococcus	malodoratus
Enterococcus	moraviensis
Enterococcus	mundtii
Enterococcus	olivae
Enterococcus	pallens
Enterococcus	phoeniculicola
Enterococcus	plantarum
Enterococcus	porcinus
Enterococcus	pseudoavium
Enterococcus	quebecensis
Enterococcus	raffinosus
Enterococcus	ratti
Enterococcus	rivorum
Enterococcus	rotai
Enterococcus	saccharolyticus
Enterococcus	saccharolyticus
Enterococcus	saccharolyticus
Enterococcus	saccharominimus
Enterococcus	saigonensis
Enterococcus	seriolicida
Enterococcus	silesiacus
Enterococcus	solitarius
Enterococcus	sulfureus
Enterococcus	termitis
Enterococcus	thailandicus
Enterococcus	ureasiticus
Enterococcus	ureilyticus
Enterococcus	viikkiensis
Enterococcus	villorum
Enterococcus	wangshanyuanii
Enterococcus	xiangfangensis
Enterococcus	
Enterorhabdus	caecimuris
Enterorhabdus	mucosicola
Enterorhabdus	muris
Enterorhabdus	
Enteroscipio	rubneri
Enteroscipio	
Enterovibrio	calviensis
Enterovibrio	coralii
Enterovibrio	nigricans
Enterovibrio	norvegicus
Enterovibrio	pacificus
Enterovibrio	
Enterovirga	rhinocerotis
Enterovirga	
Entomoplasma	ellychniae
Entomoplasma	freundtii
Entomoplasma	lucivorax
Entomoplasma	luminosum
Entomoplasma	melaleucae
Entomoplasma	somnilux
Entomoplasma	
Eoetvoesia	caeni
Eoetvoesia	
Eperythrozoon	coccoides
Eperythrozoon	ovis
Eperythrozoon	parvum
Eperythrozoon	suis
Eperythrozoon	wenyonii
Eperythrozoon	
Ephemeroptericola	cinctiostellae
Ephemeroptericola	
Epibacterium	mobile
Epibacterium	multivorans
Epibacterium	scottomollicae
Epibacterium	ulvae
Epibacterium	
Epidermidibacterium	keratini
Epidermidibacterium	
Epiflobacter	
Epifloribacter	
Epilithonimonas	ginsengisoli
Epilithonimonas	lactis
Epilithonimonas	psychrotolerans
Epilithonimonas	tenax
Epilithonimonas	xixisoli
Epilithonimonas	
Ercella	succinigenes
Ercella	
Ereboglobus	luteus
Ereboglobus	
Eremococcus	coleocola
Eremococcus	
Erwinia	alni
Erwinia	amylovora
Erwinia	ananas
Erwinia	ananatis
Erwinia	aphidicola
Erwinia	billingiae
Erwinia	cacticida
Erwinia	cancerogena
Erwinia	carnegieana
Erwinia	carotovora
Erwinia	carotovora
Erwinia	carotovora
Erwinia	carotovora
Erwinia	carotovora
Erwinia	carotovora
Erwinia	chrysanthemi
Erwinia	cypripedii
Erwinia	dissolvens
Erwinia	endophytica
Erwinia	gerundensis
Erwinia	herbicola
Erwinia	iniecta
Erwinia	mallotivora
Erwinia	milletiae
Erwinia	nigrifluens
Erwinia	nimipressuralis
Erwinia	oleae
Erwinia	papayae
Erwinia	paradisiaca
Erwinia	piriflorinigrans
Erwinia	psidii
Erwinia	pyrifoliae
Erwinia	quercina
Erwinia	rhapontici
Erwinia	rubrifaciens
Erwinia	salicis
Erwinia	stewartii
Erwinia	tasmaniensis
Erwinia	teleogrylli
Erwinia	toletana
Erwinia	tracheiphila
Erwinia	typographi
Erwinia	uredovora
Erwinia	uzenensis
Erwinia	
Erysipelothrix	inopinata
Erysipelothrix	larvae
Erysipelothrix	rhusiopathiae
Erysipelothrix	tonsillarum
Erysipelothrix	
Erythrobacter	aquimaris
Erythrobacter	aquimixticola
Erythrobacter	arachoides
Erythrobacter	atlanticus
Erythrobacter	citreus
Erythrobacter	flavus
Erythrobacter	gaetbuli
Erythrobacter	gangjinensis
Erythrobacter	jejuensis
Erythrobacter	litoralis
Erythrobacter	longus
Erythrobacter	luteolus
Erythrobacter	luteus
Erythrobacter	lutimaris
Erythrobacter	marinus
Erythrobacter	nanhaisediminis
Erythrobacter	odishensis
Erythrobacter	pelagi
Erythrobacter	seohaensis
Erythrobacter	spongiae
Erythrobacter	vulgaris
Erythrobacter	xanthus
Erythrobacter	zhengii
Erythrobacter	
Erythromicrobium	ramosum
Erythromicrobium	
Erythromonas	ursincola
Erythromonas	
Escherichia	adecarboxylata
Escherichia	albertii
Escherichia	blattae
Escherichia	coli
Escherichia	fergusonii
Escherichia	hermannii
Escherichia	marmotae
Escherichia	vulneris
Escherichia	
Ethanoligenens	harbinense
Ethanoligenens	
Eubacterium	acidaminophilum
Eubacterium	aerofaciens
Eubacterium	aggregans
Eubacterium	alactolyticum
Eubacterium	angustum
Eubacterium	barkeri
Eubacterium	biforme
Eubacterium	brachy
Eubacterium	budayi
Eubacterium	callanderi
Eubacterium	cellulosolvens
Eubacterium	combesii
Eubacterium	contortum
Eubacterium	coprostanoligenes
Eubacterium	cylindroides
Eubacterium	desmolans
Eubacterium	dolichum
Eubacterium	eligens
Eubacterium	exiguum
Eubacterium	fissicatena
Eubacterium	formicigenerans
Eubacterium	fossor
Eubacterium	hadrum
Eubacterium	hallii
Eubacterium	infirmum
Eubacterium	lentum
Eubacterium	limosum
Eubacterium	maltosivorans
Eubacterium	minutum
Eubacterium	moniliforme
Eubacterium	multiforme
Eubacterium	nitritogenes
Eubacterium	nodatum
Eubacterium	oxidoreducans
Eubacterium	oxidoreducens
Eubacterium	plautii
Eubacterium	plexicaudatum
Eubacterium	pyruvativorans
Eubacterium	ramulus
Eubacterium	rectale
Eubacterium	ruminantium
Eubacterium	saburreum
Eubacterium	siraeum
Eubacterium	suis
Eubacterium	sulci
Eubacterium	tarantellae
Eubacterium	tarantellus
Eubacterium	tardum
Eubacterium	tenue
Eubacterium	timidum
Eubacterium	tortuosum
Eubacterium	uniforme
Eubacterium	ventriosum
Eubacterium	xylanophilum
Eubacterium	yurii
Eubacterium	yurii
Eubacterium	yurii
Eubacterium	yurii
Eubacterium	
Eudoraea	adriatica
Eudoraea	
Euzebya	rosea
Euzebya	tangerina
Euzebya	
Euzebyella	algicola
Euzebyella	marina
Euzebyella	saccharophila
Euzebyella	
Ewingella	americana
Ewingella	
Excellospora	viridilutea
Excellospora	
Exiguobacterium	acetylicum
Exiguobacterium	aestuarii
Exiguobacterium	alkaliphilum
Exiguobacterium	antarcticum
Exiguobacterium	aquaticum
Exiguobacterium	artemiae
Exiguobacterium	aurantiacum
Exiguobacterium	enclense
Exiguobacterium	indicum
Exiguobacterium	marinum
Exiguobacterium	mexicanum
Exiguobacterium	oxidotolerans
Exiguobacterium	profundum
Exiguobacterium	sibiricum
Exiguobacterium	soli
Exiguobacterium	undae
Exiguobacterium	
Exilispira	thermophila
Exilispira	
Extensimonas	vulgaris
Extensimonas	
Extibacter	muris
Extibacter	
Ezakiella	massiliensis
Ezakiella	peruensis
Ezakiella	
Fabibacter	halotolerans
Fabibacter	misakiensis
Fabibacter	pacificus
Fabibacter	
Fabivirga	thermotolerans
Fabivirga	
Facklamia	hominis
Facklamia	ignava
Facklamia	languida
Facklamia	miroungae
Facklamia	sourekii
Facklamia	tabacinasalis
Facklamia	
Faecalibacillus	faecis
Faecalibacillus	intestinalis
Faecalibacillus	
Faecalibacterium	prausnitzii
Faecalibacterium	
Faecalibaculum	rodentium
Faecalibaculum	
Faecalicatena	contorta
Faecalicatena	fissicatena
Faecalicatena	orotica
Faecalicatena	
Faecalicoccus	acidiformans
Faecalicoccus	pleomorphus
Faecalicoccus	
Faecalimonas	umbilicata
Faecalimonas	
Faecalitalea	cylindroides
Faecalitalea	
Faenia	rectivirgula
Faenia	
Falcatimonas	natans
Falcatimonas	
Falcivibrio	grandis
Falcivibrio	vaginalis
Falcivibrio	
Falsarthrobacter	nasiphocae
Falsarthrobacter	
Falsibacillus	albus
Falsibacillus	pallidus
Falsibacillus	
Falsiporphyromonas	endometrii
Falsiporphyromonas	
Falsirhodobacter	deserti
Falsirhodobacter	halotolerans
Falsirhodobacter	
Falsochrobactrum	ovis
Falsochrobactrum	shanghaiense
Falsochrobactrum	
Fangia	hongkongensis
Fangia	
Fannyhessea	vaginae
Fannyhessea	
Fastidiosibacter	lacustris
Fastidiosibacter	
Fastidiosipila	sanguinis
Fastidiosipila	
Faucicola	mancuniensis
Faucicola	
Fenollaria	massiliensis
Fenollaria	
Fermentibacillus	polygoni
Fermentibacillus	
Fermentimonas	caenicola
Fermentimonas	
Ferribacterium	limneticum
Ferribacterium	
Ferrigenium	kumadai
Ferrigenium	
Ferrimicrobium	acidiphilum
Ferrimicrobium	
Ferrimonas	balearica
Ferrimonas	futtsuensis
Ferrimonas	gelatinilytica
Ferrimonas	kyonanensis
Ferrimonas	marina
Ferrimonas	pelagia
Ferrimonas	sediminum
Ferrimonas	senticii
Ferrimonas	
Ferriphaselus	amnicola
Ferriphaselus	
Ferrithrix	thermotolerans
Ferrithrix	
Ferritrophicum	
Ferroglobus	placidus
Ferroglobus	
Ferroplasma	acidiphilum
Ferroplasma	cupricumulans
Ferroplasma	
Ferrovibrio	denitrificans
Ferrovibrio	soli
Ferrovibrio	xuzhouensis
Ferrovibrio	
Ferruginibacter	alkalilentus
Ferruginibacter	lapsinanis
Ferruginibacter	paludis
Ferruginibacter	yonginensis
Ferruginibacter	
Fervidicella	metallireducens
Fervidicella	
Fervidicoccus	fontis
Fervidicoccus	
Fervidicola	ferrireducens
Fervidicola	
Fervidobacterium	changbaicum
Fervidobacterium	gondwanense
Fervidobacterium	islandicum
Fervidobacterium	nodosum
Fervidobacterium	pennavorans
Fervidobacterium	pennivorans
Fervidobacterium	riparium
Fervidobacterium	thailandense
Fervidobacterium	
Fibrella	aestuarina
Fibrella	
Fibrisoma	limi
Fibrisoma	
Fibrobacter	intestinalis
Fibrobacter	succinogenes
Fibrobacter	succinogenes
Fibrobacter	
Fictibacillus	aquaticus
Fictibacillus	arsenicus
Fictibacillus	barbaricus
Fictibacillus	enclensis
Fictibacillus	gelatini
Fictibacillus	halophilus
Fictibacillus	macauensis
Fictibacillus	nanhaiensis
Fictibacillus	phosphorivorans
Fictibacillus	rigui
Fictibacillus	solisalsi
Fictibacillus	
Filibacter	limicola
Filibacter	tadaridae
Filibacter	
Filifactor	alocis
Filifactor	villosus
Filifactor	
Filimonas	aquilariae
Filimonas	aurantiibacter
Filimonas	endophytica
Filimonas	lacunae
Filimonas	zeae
Filimonas	
Filobacillus	
Filobacterium	rodentium
Filobacterium	
Filomicrobium	fusiforme
Filomicrobium	insigne
Filomicrobium	
Fimbriiglobus	ruber
Fimbriiglobus	
Fimbriimonas	ginsengisoli
Fimbriimonas	
Finegoldia	magna
Finegoldia	
Flagellimonas	aquimarina
Flagellimonas	eckloniae
Flagellimonas	flava
Flagellimonas	pacifica
Flagellimonas	
Flammeovirga	aprica
Flammeovirga	arenaria
Flammeovirga	kamogawensis
Flammeovirga	pacifica
Flammeovirga	yaeyamensis
Flammeovirga	
Flaviaesturariibacter	amylovorans
Flaviaesturariibacter	luteus
Flaviaesturariibacter	terrae
Flaviaesturariibacter	
Flavicella	marina
Flavicella	
Flaviflexus	huanghaiensis
Flaviflexus	salsibiostraticola
Flaviflexus	
Flavihumibacter	cheonanensis
Flavihumibacter	petaseus
Flavihumibacter	sediminis
Flavihumibacter	solisilvae
Flavihumibacter	stibioxidans
Flavihumibacter	
Flavimaricola	marinus
Flavimaricola	
Flavimarina	flava
Flavimarina	pacifica
Flavimarina	
Flavimobilis	marinus
Flavimobilis	soli
Flavimobilis	
Flavimonas	oryzihabitans
Flavimonas	
Flavipsychrobacter	stenotrophus
Flavipsychrobacter	
Flaviramulus	aestuariivivens
Flaviramulus	aquimarinus
Flaviramulus	basaltis
Flaviramulus	ichthyoenteri
Flaviramulus	
Flavirhabdus	iliipiscaria
Flavirhabdus	
Flavisolibacter	ginsengisoli
Flavisolibacter	ginsengiterrae
Flavisolibacter	ginsenosidimutans
Flavisolibacter	metallilatus
Flavisolibacter	nicotianae
Flavisolibacter	rigui
Flavisolibacter	tropicus
Flavisolibacter	
Flavitalea	antarctica
Flavitalea	gansuensis
Flavitalea	populi
Flavitalea	soli
Flavitalea	
Flavivirga	amylovorans
Flavivirga	aquimarina
Flavivirga	eckloniae
Flavivirga	jejuensis
Flavivirga	
Flavobacterium	acidificum
Flavobacterium	aciduliphilum
Flavobacterium	acidurans
Flavobacterium	ahnfeltiae
Flavobacterium	akiainvivens
Flavobacterium	album
Flavobacterium	algicola
Flavobacterium	alvei
Flavobacterium	amnigenum
Flavobacterium	amniphilum
Flavobacterium	anatoliense
Flavobacterium	anhuiense
Flavobacterium	antarcticum
Flavobacterium	aquaticum
Flavobacterium	aquatile
Flavobacterium	aquicola
Flavobacterium	aquidurense
Flavobacterium	aquimarinum
Flavobacterium	araucananum
Flavobacterium	arcticum
Flavobacterium	ardleyense
Flavobacterium	arsenatis
Flavobacterium	arsenitoxidans
Flavobacterium	artemisiae
Flavobacterium	aurantiibacter
Flavobacterium	balustinum
Flavobacterium	banpakuense
Flavobacterium	beibuense
Flavobacterium	branchiarum
Flavobacterium	branchiicola
Flavobacterium	breve
Flavobacterium	brevivitae
Flavobacterium	buctense
Flavobacterium	caeni
Flavobacterium	capsulatum
Flavobacterium	cauense
Flavobacterium	ceti
Flavobacterium	cheniae
Flavobacterium	cheonanense
Flavobacterium	cheongpyeongense
Flavobacterium	cheonhonense
Flavobacterium	chilense
Flavobacterium	chryseum
Flavobacterium	chuncheonense
Flavobacterium	chungangense
Flavobacterium	chungbukense
Flavobacterium	chungnamense
Flavobacterium	cloacae
Flavobacterium	collinsense
Flavobacterium	collinsii
Flavobacterium	columnare
Flavobacterium	commune
Flavobacterium	compostarboris
Flavobacterium	crassostreae
Flavobacterium	croceum
Flavobacterium	crocinum
Flavobacterium	cucumis
Flavobacterium	cutihirudinis
Flavobacterium	cyanobacteriorum
Flavobacterium	daejeonense
Flavobacterium	dankookense
Flavobacterium	defluvii
Flavobacterium	degerlachei
Flavobacterium	denitrificans
Flavobacterium	devorans
Flavobacterium	dispersum
Flavobacterium	dongtanense
Flavobacterium	eburneum
Flavobacterium	effusum
Flavobacterium	endophyticum
Flavobacterium	enshiense
Flavobacterium	esteraromaticum
Flavobacterium	faecale
Flavobacterium	ferrugineum
Flavobacterium	filum
Flavobacterium	flaviflagrans
Flavobacterium	flevense
Flavobacterium	fluminis
Flavobacterium	fluviatile
Flavobacterium	fluvii
Flavobacterium	foetidum
Flavobacterium	fontis
Flavobacterium	frigidarium
Flavobacterium	frigidimaris
Flavobacterium	frigoris
Flavobacterium	fryxellicola
Flavobacterium	fulvum
Flavobacterium	gelidilacus
Flavobacterium	gillisiae
Flavobacterium	gilvum
Flavobacterium	ginsengisoli
Flavobacterium	ginsenosidimutans
Flavobacterium	glaciei
Flavobacterium	gleum
Flavobacterium	glycines
Flavobacterium	gondwanense
Flavobacterium	gossypii
Flavobacterium	granuli
Flavobacterium	gyeonganense
Flavobacterium	halmephilium
Flavobacterium	halmophilum
Flavobacterium	hankyongi
Flavobacterium	haoranii
Flavobacterium	hauense
Flavobacterium	heparinum
Flavobacterium	hercynium
Flavobacterium	hibernum
Flavobacterium	hibisci
Flavobacterium	humicola
Flavobacterium	hydatis
Flavobacterium	hydrophilum
Flavobacterium	indicum
Flavobacterium	indologenes
Flavobacterium	indoltheticum
Flavobacterium	inkyongense
Flavobacterium	jejuense
Flavobacterium	jejuensis
Flavobacterium	johnsoniae
Flavobacterium	jumunjinense
Flavobacterium	keumense
Flavobacterium	kingsejongi
Flavobacterium	knui
Flavobacterium	koreense
Flavobacterium	kyungheense
Flavobacterium	kyungheensis
Flavobacterium	lacicola
Flavobacterium	lacunae
Flavobacterium	lacus
Flavobacterium	laiguense
Flavobacterium	limi
Flavobacterium	limicola
Flavobacterium	limnosediminis
Flavobacterium	lindanitolerans
Flavobacterium	longum
Flavobacterium	luteum
Flavobacterium	luticocti
Flavobacterium	lutivivi
Flavobacterium	macrobrachii
Flavobacterium	magnum
Flavobacterium	maotaiense
Flavobacterium	marinotypicum
Flavobacterium	marinum
Flavobacterium	maris
Flavobacterium	meningosepticum
Flavobacterium	micromati
Flavobacterium	mizutaii
Flavobacterium	multivorum
Flavobacterium	myungsuense
Flavobacterium	naphthae
Flavobacterium	nitratireducens
Flavobacterium	nitrogenifigens
Flavobacterium	niveum
Flavobacterium	noncentrifugens
Flavobacterium	notoginsengisoli
Flavobacterium	oceanosedimentum
Flavobacterium	odoratum
Flavobacterium	okeanokoites
Flavobacterium	olei
Flavobacterium	omnivorum
Flavobacterium	oncorhynchi
Flavobacterium	orientale
Flavobacterium	oryzae
Flavobacterium	ovatum
Flavobacterium	pallidum
Flavobacterium	palustre
Flavobacterium	paronense
Flavobacterium	pectinovorum
Flavobacterium	pedocola
Flavobacterium	phocarum
Flavobacterium	phragmitis
Flavobacterium	piscinae
Flavobacterium	piscis
Flavobacterium	plurextorum
Flavobacterium	ponti
Flavobacterium	procerum
Flavobacterium	psychrolimnae
Flavobacterium	psychrophilum
Flavobacterium	psychroterrae
Flavobacterium	qiangtangense
Flavobacterium	qiangtangensis
Flavobacterium	quisquiliarum
Flavobacterium	rakeshii
Flavobacterium	reichenbachii
Flavobacterium	resinovorum
Flavobacterium	resistens
Flavobacterium	riviphilum
Flavobacterium	rivuli
Flavobacterium	saccharophilum
Flavobacterium	salegens
Flavobacterium	saliperosum
Flavobacterium	sasangense
Flavobacterium	scophthalmum
Flavobacterium	sediminilitoris
Flavobacterium	sediminis
Flavobacterium	segetis
Flavobacterium	seoulense
Flavobacterium	sharifuzzamanii
Flavobacterium	sinopsychrotolerans
Flavobacterium	soli
Flavobacterium	soyangense
Flavobacterium	spartansii
Flavobacterium	spiritivorum
Flavobacterium	squillarum
Flavobacterium	suaedae
Flavobacterium	subsaxonicum
Flavobacterium	succinicans
Flavobacterium	sufflavum
Flavobacterium	suncheonense
Flavobacterium	suzhouense
Flavobacterium	swingsii
Flavobacterium	tegetincola
Flavobacterium	terrae
Flavobacterium	terrigena
Flavobacterium	terriphilum
Flavobacterium	thalpophilum
Flavobacterium	thermophilum
Flavobacterium	tiangeerense
Flavobacterium	tibetense
Flavobacterium	tilapiae
Flavobacterium	tistrianum
Flavobacterium	tructae
Flavobacterium	tyrosinilyticum
Flavobacterium	uliginosum
Flavobacterium	ummariense
Flavobacterium	ureilyticum
Flavobacterium	urocaniciphilum
Flavobacterium	urumqiense
Flavobacterium	verecundum
Flavobacterium	vireti
Flavobacterium	weaverense
Flavobacterium	xanthum
Flavobacterium	xinjiangense
Flavobacterium	xueshanense
Flavobacterium	yabuuchiae
Flavobacterium	yanchengense
Flavobacterium	yonginense
Flavobacterium	
Flavonifractor	plautii
Flavonifractor	
Flectobacillus	fontis
Flectobacillus	glomeratus
Flectobacillus	lacus
Flectobacillus	major
Flectobacillus	marinus
Flectobacillus	pallidus
Flectobacillus	rhizosphaerae
Flectobacillus	roseus
Flectobacillus	
Flexibacter	aggregans
Flexibacter	aurantiacus
Flexibacter	canadensis
Flexibacter	columnaris
Flexibacter	elegans
Flexibacter	filiformis
Flexibacter	flexilis
Flexibacter	japonensis
Flexibacter	litoralis
Flexibacter	maritimus
Flexibacter	ovolyticus
Flexibacter	polymorphus
Flexibacter	psychrophilus
Flexibacter	roseolus
Flexibacter	ruber
Flexibacter	sancti
Flexibacter	tractuosus
Flexibacter	
Flexilinea	flocculi
Flexilinea	
Flexistipes	sinusarabici
Flexistipes	
Flexithrix	dorotheae
Flexithrix	
Flexivirga	alba
Flexivirga	endophytica
Flexivirga	lutea
Flexivirga	oryzae
Flexivirga	
Flindersiella	endophytica
Flindersiella	
Flintibacter	butyricum
Flintibacter	butyricus
Flintibacter	
Floricoccus	penangensis
Floricoccus	tropicus
Floricoccus	
Fluoribacter	bozemanae
Fluoribacter	dumoffii
Fluoribacter	gormanii
Fluoribacter	
Fluviicoccus	keumensis
Fluviicoccus	
Fluviicola	hefeinensis
Fluviicola	kyonggii
Fluviicola	taffensis
Fluviicola	
Fluviimonas	pallidilutea
Fluviimonas	
Fodinibacter	luteus
Fodinibacter	
Fodinibius	salinus
Fodinibius	
Fodinicola	feengrottensis
Fodinicola	
Fodinicurvata	fenggangensis
Fodinicurvata	halophila
Fodinicurvata	sediminis
Fodinicurvata	
Foliisarcina	bertiogensis
Foliisarcina	
Fontibacillus	aquaticus
Fontibacillus	panacisegetis
Fontibacillus	phaseoli
Fontibacillus	solani
Fontibacillus	
Fontibacter	ferrireducens
Fontibacter	flavus
Fontibacter	
Fonticella	tunisiensis
Fonticella	
Fontimonas	thermophila
Fontimonas	
Formivibrio	citricus
Formivibrio	
Formosa	agariphila
Formosa	algae
Formosa	arctica
Formosa	haliotis
Formosa	spongicola
Formosa	undariae
Formosa	
Formosimonas	limnophila
Formosimonas	
Fournierella	massiliensis
Fournierella	
Francisella	guangzhouensis
Francisella	halioticida
Francisella	hispaniensis
Francisella	noatunensis
Francisella	noatunensis
Francisella	noatunensis
Francisella	novicida
Francisella	persica
Francisella	philomiragia
Francisella	philomiragia
Francisella	philomiragia
Francisella	piscicida
Francisella	tularensis
Francisella	tularensis
Francisella	tularensis
Francisella	tularensis
Francisella	tularensis
Francisella	
Franconibacter	daqui
Franconibacter	helveticus
Franconibacter	pulveris
Franconibacter	
Frankia	alni
Frankia	asymbiotica
Frankia	canadensis
Frankia	casuarinae
Frankia	coriariae
Frankia	discariae
Frankia	elaeagni
Frankia	inefficax
Frankia	irregularis
Frankia	saprophytica
Frankia	torreyi
Frankia	
Frateuria	aurantia
Frateuria	defendens
Frateuria	terrea
Frateuria	
Frederiksenia	canicola
Frederiksenia	
Fretibacter	rubidus
Fretibacter	
Fretibacterium	fastidiosum
Fretibacterium	
Friedmanniella	aerolata
Friedmanniella	antarctica
Friedmanniella	capsulata
Friedmanniella	endophytica
Friedmanniella	flava
Friedmanniella	lacustris
Friedmanniella	spumicola
Friedmanniella	
Frigidibacter	albus
Frigidibacter	
Frigoribacterium	endophyticum
Frigoribacterium	faeni
Frigoribacterium	mesophilum
Frigoribacterium	salinisoli
Frigoribacterium	
Frischella	perrara
Frischella	
Frisingicoccus	caecimuris
Frisingicoccus	
Fritschea	
Frondibacter	aureus
Frondibacter	mangrovi
Frondibacter	
Frondicola	
Frondihabitans	australicus
Frondihabitans	cladoniiphilus
Frondihabitans	peucedani
Frondihabitans	sucicola
Frondihabitans	
Fructobacillus	durionis
Fructobacillus	ficulneus
Fructobacillus	fructosus
Fructobacillus	pseudoficulneus
Fructobacillus	tropaeoli
Fructobacillus	
Fuchsiella	alkaliacetigena
Fuchsiella	ferrireducens
Fuchsiella	
Fucophilus	
Fulvibacter	tottoriensis
Fulvibacter	
Fulvimarina	manganoxydans
Fulvimarina	pelagi
Fulvimarina	
Fulvimonas	soli
Fulvimonas	yonginensis
Fulvimonas	
Fulvitalea	axinellae
Fulvitalea	
Fulvivirga	imtechensis
Fulvivirga	kasyanovii
Fulvivirga	lutimaris
Fulvivirga	
Fundibacter	jadensis
Fundibacter	
Fusibacter	bizertensis
Fusibacter	fontis
Fusibacter	paucivorans
Fusibacter	tunisiensis
Fusibacter	
Fusicatenibacter	saccharivorans
Fusicatenibacter	
Fusobacterium	alocis
Fusobacterium	canifelinum
Fusobacterium	canium
Fusobacterium	equinum
Fusobacterium	gastrosuis
Fusobacterium	gonidiaformans
Fusobacterium	mortiferum
Fusobacterium	naviforme
Fusobacterium	necrogenes
Fusobacterium	necrophorum
Fusobacterium	necrophorum
Fusobacterium	necrophorum
Fusobacterium	nucleatum
Fusobacterium	nucleatum
Fusobacterium	nucleatum
Fusobacterium	nucleatum
Fusobacterium	nucleatum
Fusobacterium	nucleatum
Fusobacterium	perfoetens
Fusobacterium	periodonticum
Fusobacterium	plauti
Fusobacterium	plautii
Fusobacterium	polysaccharolyticum
Fusobacterium	prausnitzii
Fusobacterium	pseudonecrophorum
Fusobacterium	russii
Fusobacterium	simiae
Fusobacterium	sulci
Fusobacterium	ulcerans
Fusobacterium	varium
Fusobacterium	
Gabonibacter	massiliensis
Gabonibacter	
Gaetbulibacter	aestuarii
Gaetbulibacter	aquiaggeris
Gaetbulibacter	lutimaris
Gaetbulibacter	marinus
Gaetbulibacter	saemankumensis
Gaetbulibacter	
Gaetbulicola	byunsanensis
Gaetbulicola	
Gaetbulimicrobium	brevivitae
Gaetbulimicrobium	
Gaiella	occulta
Gaiella	
Galbibacter	marinus
Galbibacter	mesophilus
