GENUS	SPECIES
Acidovorax	defluvii
Acidovorax	delafieldii
Acidovorax	facilis
Acidovorax	kalamii
Acidovorax	konjaci
Acidovorax	lacteus
Acidovorax	monticola
Acidovorax	oryzae
Acidovorax	radicis
Acidovorax	soli
Acidovorax	temperans
Acidovorax	valerianellae
Acidovorax	wautersii
Acidovorax	
Acinetobacter	albensis
Acinetobacter	apis
Acinetobacter	baumannii
Acinetobacter	baylyi
Acinetobacter	beijerinckii
Acinetobacter	bereziniae
Acinetobacter	bohemicus
Acinetobacter	boissieri
Acinetobacter	bouvetii
Acinetobacter	brisouii
Acinetobacter	calcoaceticus
Acinetobacter	celticus
Acinetobacter	colistiniresistens
Acinetobacter	courvalinii
Acinetobacter	defluvii
Acinetobacter	dijkshoorniae
Acinetobacter	dispersus
Acinetobacter	equi
Acinetobacter	gandensis
Acinetobacter	gerneri
Acinetobacter	grimontii
Acinetobacter	guangdongensis
Acinetobacter	guillouiae
Acinetobacter	gyllenbergii
Acinetobacter	haemolyticus
Acinetobacter	halotolerans
Acinetobacter	harbinensis
Acinetobacter	indicus
Acinetobacter	johnsonii
Acinetobacter	junii
Acinetobacter	kookii
Acinetobacter	lactucae
Acinetobacter	larvae
Acinetobacter	lwoffii
Acinetobacter	modestus
Acinetobacter	nectaris
Acinetobacter	nosocomialis
Acinetobacter	pakistanensis
Acinetobacter	parvus
Acinetobacter	piscicola
Acinetobacter	pittii
Acinetobacter	populi
Acinetobacter	pragensis
Acinetobacter	proteolyticus
Acinetobacter	pseudolwoffii
Acinetobacter	puyangensis
Acinetobacter	qingfengensis
Acinetobacter	radioresistens
Acinetobacter	rudis
Acinetobacter	schindleri
Acinetobacter	seifertii
Acinetobacter	sichuanensis
Acinetobacter	soli
Acinetobacter	tandoii
Acinetobacter	tjernbergiae
Acinetobacter	towneri
Acinetobacter	ursingii
Acinetobacter	variabilis
Acinetobacter	venetianus
Acinetobacter	vivianii
Acinetobacter	wuhouensis
Acinetobacter	
Acrocarpospora	corrugata
Acrocarpospora	macrocephala
Acrocarpospora	phusangensis
Acrocarpospora	pleiomorpha
Acrocarpospora	
Actibacter	haliotis
Actibacter	sediminis
Actibacter	
Actibacterium	atlanticum
Actibacterium	mucosum
Actibacterium	pelagium
Actibacterium	ureilyticum
Actibacterium	
Actimicrobium	
Actinaurispora	siamensis
Actinaurispora	
Actinoallomurus	acaciae
Actinoallomurus	acanthiterrae
Actinoallomurus	amamiensis
Actinoallomurus	bryophytorum
Actinoallomurus	caesius
Actinoallomurus	coprocola
Actinoallomurus	fulvus
Actinoallomurus	iriomotensis
Actinoallomurus	liliacearum
Actinoallomurus	luridus
Actinoallomurus	oryzae
Actinoallomurus	purpureus
Actinoallomurus	radicium
Actinoallomurus	spadix
Actinoallomurus	vinaceus
Actinoallomurus	yoronensis
Actinoallomurus	
Actinoalloteichus	cyanogriseus
Actinoalloteichus	hoggarensis
Actinoalloteichus	hymeniacidonis
Actinoalloteichus	nanshanensis
Actinoalloteichus	spitiensis
Actinoalloteichus	
Actinobacillus	actinomycetemcomitans
Actinobacillus	anseriformium
Actinobacillus	arthritidis
Actinobacillus	capsulatus
Actinobacillus	delphinicola
Actinobacillus	equuli
Actinobacillus	equuli
Actinobacillus	equuli
Actinobacillus	hominis
Actinobacillus	indolicus
Actinobacillus	lignieresii
Actinobacillus	minor
Actinobacillus	muris
Actinobacillus	pleuropneumoniae
Actinobacillus	porcinus
Actinobacillus	rossii
Actinobacillus	scotiae
Actinobacillus	seminis
Actinobacillus	succinogenes
Actinobacillus	suis
Actinobacillus	ureae
Actinobacillus	
Actinobaculum	massiliae
Actinobaculum	massiliense
Actinobaculum	schaalii
Actinobaculum	suis
Actinobaculum	urinale
Actinobaculum	
Actinobispora	alaniniphila
Actinobispora	aurantiaca
Actinobispora	xinjiangensis
Actinobispora	yunnanensis
Actinobispora	
Actinocatenispora	rupis
Actinocatenispora	sera
Actinocatenispora	thailandica
Actinocatenispora	
Actinocorallia	aurantiaca
Actinocorallia	aurea
Actinocorallia	cavernae
Actinocorallia	glomerata
Actinocorallia	herbida
Actinocorallia	lasiicapitis
Actinocorallia	libanotica
Actinocorallia	longicatena
Actinocorallia	populi
Actinocorallia	
Actinocrinis	puniceicyclus
Actinocrinis	
Actinocrispum	wychmicini
Actinocrispum	
Actinokineospora	acnipugnans
Actinokineospora	alba
Actinokineospora	auranticolor
Actinokineospora	baliensis
Actinokineospora	bangkokensis
Actinokineospora	cianjurensis
Actinokineospora	cibodasensis
Actinokineospora	diospyrosa
Actinokineospora	enzanensis
Actinokineospora	fastidiosa
Actinokineospora	globicatena
Actinokineospora	guangxiensis
Actinokineospora	inagensis
Actinokineospora	iranica
Actinokineospora	mzabensis
Actinokineospora	riparia
Actinokineospora	soli
Actinokineospora	spheciospongiae
Actinokineospora	terrae
Actinokineospora	
Actinomadura	adrarensis
Actinomadura	africana
Actinomadura	alba
Actinomadura	algeriensis
Actinomadura	alkaliterrae
Actinomadura	amylolytica
Actinomadura	apis
Actinomadura	atramentaria
Actinomadura	aurantiaca
Actinomadura	bangladeshensis
Actinomadura	barringtoniae
Actinomadura	carminata
Actinomadura	catellatispora
Actinomadura	cellulosilytica
Actinomadura	chibensis
Actinomadura	chokoriensis
Actinomadura	citrea
Actinomadura	coerulea
Actinomadura	coeruleofusca
Actinomadura	coeruleoviolacea
Actinomadura	craniellae
Actinomadura	cremea
Actinomadura	cremea
Actinomadura	cremea
Actinomadura	darangshiensis
Actinomadura	deserti
Actinomadura	echinospora
Actinomadura	fastidiosa
Actinomadura	ferruginea
Actinomadura	fibrosa
Actinomadura	flava
Actinomadura	flavalba
Actinomadura	flexuosa
Actinomadura	formosensis
Actinomadura	fulvescens
Actinomadura	gamaensis
Actinomadura	geliboluensis
Actinomadura	glauciflava
Actinomadura	glomerata
Actinomadura	hallensis
Actinomadura	hankyongense
Actinomadura	hankyongensis
Actinomadura	helvata
Actinomadura	hibisca
Actinomadura	jiaoheensis
Actinomadura	keratinilytica
Actinomadura	kijaniata
Actinomadura	latina
Actinomadura	libanotica
Actinomadura	livida
Actinomadura	longicatena
Actinomadura	longispora
Actinomadura	luteofluorescens
Actinomadura	macra
Actinomadura	madurae
Actinomadura	malachitica
Actinomadura	meridiana
Actinomadura	mexicana
Actinomadura	meyerae
Actinomadura	meyerii
Actinomadura	miaoliensis
Actinomadura	montaniterrae
Actinomadura	namibiensis
Actinomadura	napierensis
Actinomadura	nitritigenes
Actinomadura	oligospora
Actinomadura	pelletieri
Actinomadura	polychroma
Actinomadura	pusilla
Actinomadura	rayongensis
Actinomadura	recticatena
Actinomadura	rhizosphaerae
Actinomadura	rifamycini
Actinomadura	roseola
Actinomadura	roseoviolacea
Actinomadura	rubra
Actinomadura	rubrobrunea
Actinomadura	rudentiformis
Actinomadura	rugatobispora
Actinomadura	rupiterrae
Actinomadura	salmonea
Actinomadura	scrupuli
Actinomadura	sediminis
Actinomadura	spadix
Actinomadura	spiralis
Actinomadura	sporangiiformans
Actinomadura	sputi
Actinomadura	syzygii
Actinomadura	turkmeniaca
Actinomadura	umbrina
Actinomadura	verrucosospora
Actinomadura	vinacea
Actinomadura	viridilutea
Actinomadura	viridis
Actinomadura	xylanilytica
Actinomadura	yumaensis
Actinomadura	
Actinomyces	bernardiae
Actinomyces	bovis
Actinomyces	bowdenii
Actinomyces	canis
Actinomyces	cardiffensis
Actinomyces	catuli
Actinomyces	coleocanis
Actinomyces	dentalis
Actinomyces	denticolens
Actinomyces	europaeus
